tf,target,weight,label
E2F4,IGHV3-43,0.0,0
SATB1,IGHV3-43,0.0,0
IRF1,IGHV3-43,0.0,0
ATF6,IGHV3-43,2.4696739096274962,0
JUN,IGHV3-43,0.0,0
JUND,IGHV3-43,-1.1569083834014102,0
POU2F2,IGHV3-43,-0.9483444156052766,0
KLF3,IGHV3-43,0.0,0
BCL11A,IGHV3-43,-0.7790483257851593,0
MEF2D,RPSA,0.0,0
E2F4,RPSA,0.0,0
SATB1,RPSA,0.0,0
IRF1,RPSA,-0.7871522616683865,0
ATF6,RPSA,-2.3319917178055727,0
JUN,RPSA,0.0,0
JUND,RPSA,0.0,0
POU2F2,RPSA,0.9907160805668382,0
KLF3,RPSA,0.0,0
BCL11A,RPSA,0.0,0
MEF2D,MT-ATP6,0.0,0
E2F4,MT-ATP6,-0.938895794470194,0
SATB1,MT-ATP6,0.0,0
IRF1,MT-ATP6,0.0,0
ATF6,MT-ATP6,-1.3355146566894627,0
JUN,MT-ATP6,0.0,0
JUND,MT-ATP6,0.0,0
POU2F2,MT-ATP6,0.0,0
KLF3,MT-ATP6,0.8038398288491542,0
BCL11A,MT-ATP6,0.9547019119839129,0
MEF2D,FTL,0.0,0
E2F4,FTL,0.0,0
SATB1,FTL,0.0,0
IRF1,FTL,-1.784590732758683,0
ATF6,FTL,-2.100930308073375,0
JUN,FTL,0.0,0
JUND,FTL,-1.530819644672529,0
POU2F2,FTL,0.9555394877253052,0
KLF3,FTL,0.0,0
BCL11A,FTL,0.0,0
MEF2D,CD79A,-0.8062355265246606,0
E2F4,CD79A,0.0,0
SATB1,CD79A,0.0,0
IRF1,CD79A,0.0,0
ATF6,CD79A,0.0,0
JUN,CD79A,0.0,0
JUND,CD79A,-1.6124567407601633,0
POU2F2,CD79A,0.0,0
KLF3,CD79A,0.0,0
BCL11A,CD79A,0.0,0
MEF2D,RPL17,0.0,0
E2F4,RPL17,0.0,0
SATB1,RPL17,0.0,0
IRF1,RPL17,-0.8210361868714895,0
ATF6,RPL17,0.0,0
JUN,RPL17,-1.0712414610929406,0
JUND,RPL17,2.22367271525906,0
POU2F2,RPL17,0.0,0
KLF3,RPL17,0.0,0
BCL11A,RPL17,0.0,0
MEF2D,RPS20,-0.9475402859932673,0
E2F4,RPS20,0.0,0
SATB1,RPS20,0.0,0
IRF1,RPS20,0.0,0
ATF6,RPS20,-2.813989831539225,0
JUN,RPS20,0.0,0
JUND,RPS20,0.0,0
POU2F2,RPS20,0.0,0
KLF3,RPS20,0.0,0
BCL11A,RPS20,0.7208245171799413,0
MEF2D,MT-ND1,0.0,0
E2F4,MT-ND1,0.0,0
SATB1,MT-ND1,0.0,0
IRF1,MT-ND1,0.0,0
ATF6,MT-ND1,-1.13324897956684,0
JUN,MT-ND1,0.0,0
JUND,MT-ND1,1.1649920877795175,0
POU2F2,MT-ND1,1.4704095699566064,0
KLF3,MT-ND1,0.8689857583392413,0
BCL11A,MT-ND1,1.2394947440424555,0
MEF2D,TXNIP,-0.9192015120012746,0
E2F4,TXNIP,1.1390546533707397,0
SATB1,TXNIP,0.0,0
IRF1,TXNIP,0.0,0
ATF6,TXNIP,-1.1476354037032377,0
JUN,TXNIP,-1.3873415952736134,0
JUND,TXNIP,0.0,0
POU2F2,TXNIP,0.0,0
KLF3,TXNIP,0.0,0
BCL11A,TXNIP,0.0,0
MEF2D,TMA7,-1.7230102946548538,0
E2F4,TMA7,0.0,0
SATB1,TMA7,0.0,0
IRF1,TMA7,-0.8224497486309309,0
ATF6,TMA7,-1.2707991904287463,0
JUN,TMA7,-0.8100468198821332,0
JUND,TMA7,0.0,0
POU2F2,TMA7,0.8343543747671207,0
KLF3,TMA7,0.0,0
BCL11A,TMA7,0.0,0
MEF2D,ISG20,0.0,0
E2F4,ISG20,0.0,0
SATB1,ISG20,0.0,0
IRF1,ISG20,-1.5746337998409319,0
ATF6,ISG20,-0.9115535992792622,0
JUN,ISG20,0.0,0
JUND,ISG20,-1.709252397536605,0
POU2F2,ISG20,0.0,0
KLF3,ISG20,0.0,0
BCL11A,ISG20,0.0,0
MEF2D,EVI2B,0.0,0
E2F4,EVI2B,0.0,0
SATB1,EVI2B,0.0,0
IRF1,EVI2B,0.0,0
ATF6,EVI2B,0.0,0
JUN,EVI2B,0.0,0
JUND,EVI2B,-1.350468038807251,0
POU2F2,EVI2B,0.0,0
KLF3,EVI2B,0.0,0
BCL11A,EVI2B,0.7738145650328688,0
MEF2D,CRELD2,1.1088143242575041,0
E2F4,CRELD2,1.523868254328893,0
SATB1,CRELD2,0.0,0
IRF1,CRELD2,0.0,0
ATF6,CRELD2,0.0,0
JUN,CRELD2,0.0,0
JUND,CRELD2,-1.9102467640854148,0
POU2F2,CRELD2,0.0,0
KLF3,CRELD2,0.0,0
BCL11A,CRELD2,0.0,0
MEF2D,NBEAL1,-0.8301973726107902,0
E2F4,NBEAL1,0.0,0
SATB1,NBEAL1,0.0,0
IRF1,NBEAL1,-1.2465093590618626,0
ATF6,NBEAL1,0.0,0
JUN,NBEAL1,0.0,0
JUND,NBEAL1,2.6303195117374454,0
POU2F2,NBEAL1,0.0,0
KLF3,NBEAL1,0.0,0
BCL11A,NBEAL1,-0.8155577389964048,0
MEF2D,RPL36AL,-1.3604260370030228,0
E2F4,RPL36AL,0.0,0
SATB1,RPL36AL,0.0,0
IRF1,RPL36AL,-1.4762814371891075,0
ATF6,RPL36AL,-2.8039910248006987,0
JUN,RPL36AL,0.0,0
JUND,RPL36AL,0.0,0
POU2F2,RPL36AL,0.0,0
KLF3,RPL36AL,0.0,0
BCL11A,RPL36AL,0.0,0
MEF2D,SLC25A6,-0.8237311309666507,0
E2F4,SLC25A6,0.0,0
SATB1,SLC25A6,0.0,0
IRF1,SLC25A6,0.0,0
ATF6,SLC25A6,-2.471803776417743,0
JUN,SLC25A6,0.0,0
JUND,SLC25A6,-1.2037348930978384,0
POU2F2,SLC25A6,0.0,0
KLF3,SLC25A6,0.0,0
BCL11A,SLC25A6,0.0,0
MEF2D,YPEL5,-0.8767620312315181,0
E2F4,YPEL5,-1.5179503340358633,0
SATB1,YPEL5,0.0,0
IRF1,YPEL5,1.4210582665049516,0
ATF6,YPEL5,-1.1433178163417665,0
JUN,YPEL5,-0.7825445320637141,0
JUND,YPEL5,1.0873183509818065,0
POU2F2,YPEL5,-1.2486093290176918,0
KLF3,YPEL5,0.0,0
BCL11A,YPEL5,0.0,0
MEF2D,RPL22L1,-0.8697353941574567,0
E2F4,RPL22L1,-0.8010896728202175,0
SATB1,RPL22L1,0.0,0
IRF1,RPL22L1,0.0,0
ATF6,RPL22L1,0.9672586002037565,0
JUN,RPL22L1,0.0,0
JUND,RPL22L1,0.0,0
POU2F2,RPL22L1,-1.0967593719456274,0
KLF3,RPL22L1,0.0,0
BCL11A,RPL22L1,0.0,0
MEF2D,FTH1,0.0,0
E2F4,FTH1,0.0,0
SATB1,FTH1,0.0,0
IRF1,FTH1,-1.4706453236295927,0
ATF6,FTH1,-1.1310930631891227,0
JUN,FTH1,0.0,0
JUND,FTH1,-1.2670940417090684,0
POU2F2,FTH1,1.332160572608773,0
KLF3,FTH1,0.0,0
BCL11A,FTH1,0.0,0
MEF2D,KDELR2,0.0,0
E2F4,KDELR2,0.0,0
SATB1,KDELR2,0.0,0
IRF1,KDELR2,0.0,0
ATF6,KDELR2,1.5969950130738328,0
JUN,KDELR2,0.0,0
JUND,KDELR2,-2.3180781849679226,0
POU2F2,KDELR2,0.0,0
KLF3,KDELR2,0.0,0
BCL11A,KDELR2,0.0,0
MEF2D,SSR3,0.0,0
E2F4,SSR3,0.0,0
SATB1,SSR3,0.0,0
IRF1,SSR3,-1.9176026620137119,0
ATF6,SSR3,1.4555385043241305,0
JUN,SSR3,0.0,0
JUND,SSR3,-1.9063275503014834,0
POU2F2,SSR3,0.0,0
KLF3,SSR3,0.0,0
BCL11A,SSR3,0.0,0
MEF2D,C19orf70,0.0,0
E2F4,C19orf70,0.0,0
SATB1,C19orf70,0.0,0
IRF1,C19orf70,-2.071222740646336,0
ATF6,C19orf70,0.0,0
JUN,C19orf70,-1.2416139323848565,0
JUND,C19orf70,1.313616971950364,0
POU2F2,C19orf70,0.0,0
KLF3,C19orf70,0.0,0
BCL11A,C19orf70,0.0,0
MEF2D,RRBP1,1.720750940275573,0
E2F4,RRBP1,0.0,0
SATB1,RRBP1,0.0,0
IRF1,RRBP1,1.4973156512153099,0
ATF6,RRBP1,1.022314353143988,0
JUN,RRBP1,0.0,0
JUND,RRBP1,-1.809321566203537,0
POU2F2,RRBP1,2.18920563777717,0
KLF3,RRBP1,0.0,0
BCL11A,RRBP1,0.0,0
MEF2D,RP5-1171I10.5,1.593862304766648,0
E2F4,RP5-1171I10.5,0.0,0
SATB1,RP5-1171I10.5,0.0,0
IRF1,RP5-1171I10.5,0.0,0
ATF6,RP5-1171I10.5,2.097132929168179,0
JUN,RP5-1171I10.5,0.0,0
JUND,RP5-1171I10.5,0.0,0
POU2F2,RP5-1171I10.5,0.989688844098792,0
KLF3,RP5-1171I10.5,0.0,0
BCL11A,RP5-1171I10.5,1.3373366394188704,0
MEF2D,SRP14,-1.156853843814644,0
E2F4,SRP14,0.0,0
SATB1,SRP14,0.0,0
IRF1,SRP14,-2.287915788587541,0
ATF6,SRP14,-0.9792693451320879,0
JUN,SRP14,-0.9091091294849759,0
JUND,SRP14,0.0,0
POU2F2,SRP14,1.6396517737106884,0
KLF3,SRP14,1.2941113239460302,0
BCL11A,SRP14,0.0,0
MEF2D,ARPC5L,1.6401347767002359,0
E2F4,ARPC5L,1.1754282354174468,0
SATB1,ARPC5L,0.0,0
IRF1,ARPC5L,0.0,0
ATF6,ARPC5L,2.8012403418177145,0
JUN,ARPC5L,0.0,0
JUND,ARPC5L,0.0,0
POU2F2,ARPC5L,1.7765737037658202,0
