Cell,treatment,final_annotation_functional
23_53_23__s4,Combination,Proliferating cells
23_42_56__s1,Combination,Basal-like
24_28_22__s1,Combination,Proliferating cells
22_68_39__s1,Combination,Basal-like
19_25_41__s7,Combination,Basal-like
24_40_31__s8,Combination,Proliferating cells
20_02_79__s8,Combination,Basal-like
24_52_57__s8,Combination,Basal-like
24_41_09__s7,Combination,Proliferating cells
19_82_27__s5,Combination,Basal-like
20_49_58__s8,Combination,Basal-like
24_58_08__s2,Combination,Proliferating cells
24_09_10__s2,Combination,Basal-like
20_55_74__s4,Combination,Proliferating cells
24_55_20__s2,Combination,Basal-like
23_92_47__s4,Combination,Proliferating cells
21_36_93__s7,Combination,Basal-like
22_29_31__s7,Combination,Basal-like
21_01_73__s5,Combination,Basal-like
21_46_94__s6,Combination,Proliferating cells
21_14_91__s7,Combination,Proliferating cells
20_75_49__s8,Combination,Proliferating cells
19_48_06__s4,Combination,Proliferating cells
19_47_10__s3,Combination,Basal-like
20_04_23__s7,Combination,Proliferating cells
19_93_19__s4,Combination,Proliferating cells
22_65_36__s5,Combination,Basal-like
21_13_67__s4,Combination,Proliferating cells
21_93_47__s5,Combination,Proliferating cells
20_74_10__s4,Combination,Proliferating cells
24_40_44__s3,Combination,Proliferating cells
22_52_93__s1,Combination,Proliferating cells
19_13_81__s3,Combination,Proliferating cells
23_23_72__s3,Combination,Basal-like
20_22_38__s2,Combination,Basal-like
20_92_59__s6,Combination,Proliferating cells
19_11_48__s6,Combination,Proliferating cells
21_06_52__s5,Combination,Proliferating cells
19_92_30__s3,Combination,Basal-like
20_37_49__s8,Combination,Proliferating cells
21_28_55__s2,Combination,Proliferating cells
22_56_31__s3,Combination,Proliferating cells
19_52_70__s4,Combination,Proliferating cells
19_39_22__s8,Combination,Proliferating cells
20_06_02__s5,Combination,Proliferating cells
19_67_23__s3,Combination,Proliferating cells
20_17_94__s6,Combination,Proliferating cells
20_90_34__s8,Combination,Basal-like
24_89_41__s4,Combination,Basal-like
24_20_62__s2,Combination,Proliferating cells
19_09_10__s8,Combination,Proliferating cells
19_16_06__s1,Combination,Basal-like
20_53_86__s6,Combination,Proliferating cells
21_42_67__s2,Combination,Proliferating cells
19_07_84__s6,Combination,Basal-like
23_56_11__s7,Combination,Basal-like
22_75_86__s1,Combination,Basal-like
21_81_04__s8,Combination,Basal-like
21_83_55__s4,Combination,Basal-like
22_62_82__s3,Combination,Basal-like
20_48_92__s6,Combination,Basal-like
24_68_59__s6,Combination,Proliferating cells
24_92_14__s1,Combination,Proliferating cells
19_43_33__s6,Combination,Proliferating cells
24_43_91__s5,Combination,Basal-like
20_07_62__s2,Combination,Basal-like
21_41_29__s2,Combination,Basal-like
20_69_67__s7,Combination,Basal-like
24_25_19__s1,Combination,Basal-like
24_34_70__s3,Combination,Proliferating cells
24_34_58__s2,Combination,Basal-like
19_71_82__s4,Combination,Proliferating cells
19_16_42__s8,Combination,Proliferating cells
22_08_88__s7,Combination,Basal-like
21_25_48__s8,Combination,Proliferating cells
23_40_84__s6,Combination,Proliferating cells
24_32_29__s7,Combination,Proliferating cells
24_48_48__s1,Combination,Proliferating cells
23_15_78__s1,Combination,Basal-like
22_15_08__s5,Combination,Basal-like
24_35_25__s4,Combination,Basal-like
21_10_47__s2,Combination,Proliferating cells
24_55_70__s3,Combination,Proliferating cells
24_56_02__s8,Combination,Basal-like
19_78_05__s8,Combination,Basal-like
22_15_32__s5,Combination,Basal-like
22_83_25__s3,Combination,Proliferating cells
21_10_07__s8,Combination,Basal-like
22_77_31__s8,Combination,Proliferating cells
19_88_47__s4,Combination,Basal-like
19_54_37__s8,Combination,Basal-like
24_47_82__s3,Combination,Proliferating cells
22_87_69__s3,Combination,Basal-like
23_46_54__s1,Combination,Proliferating cells
21_34_11__s5,Combination,Proliferating cells
20_75_68__s6,Combination,Proliferating cells
22_42_90__s7,Combination,Basal-like
19_22_59__s6,Combination,Proliferating cells
22_08_95__s5,Combination,Proliferating cells
21_67_27__s5,Combination,Basal-like
20_87_35__s4,Combination,Basal-like
22_46_18__s8,Combination,Basal-like
22_65_57__s3,Combination,Proliferating cells
21_27_23__s2,Combination,Basal-like
20_31_61__s7,Combination,Basal-like
24_80_30__s5,Combination,Basal-like
22_96_28__s3,Combination,Basal-like
24_50_94__s7,Combination,Basal-like
19_92_73__s5,Combination,Proliferating cells
20_69_28__s8,Combination,Basal-like
21_01_92__s7,Combination,Basal-like
23_34_54__s7,Combination,Proliferating cells
21_21_08__s8,Combination,Proliferating cells
19_40_05__s8,Combination,Proliferating cells
21_44_10__s2,Combination,Basal-like
19_30_66__s5,Combination,Basal-like
19_55_73__s7,Combination,Basal-like
22_48_64__s1,Combination,Proliferating cells
21_47_70__s8,Combination,Basal-like
23_04_27__s6,Combination,Proliferating cells
19_88_18__s7,Combination,Basal-like
20_35_19__s7,Combination,Basal-like
24_64_40__s4,Combination,Proliferating cells
19_14_76__s5,Combination,Basal-like
19_37_65__s5,Combination,Basal-like
21_96_58__s8,Combination,Basal-like
22_26_36__s5,Combination,Basal-like
22_43_70__s2,Combination,Proliferating cells
23_76_95__s8,Combination,Basal-like
22_69_66__s4,Combination,Basal-like
19_31_34__s7,Combination,Basal-like
19_40_89__s1,Combination,Basal-like
21_73_53__s8,Combination,Proliferating cells
22_76_70__s3,Combination,Proliferating cells
23_68_74__s4,Combination,Proliferating cells
21_96_55__s8,Combination,Proliferating cells
20_71_07__s2,Combination,Proliferating cells
20_42_47__s5,Combination,Proliferating cells
23_60_85__s3,Combination,Basal-like
19_41_91__s4,Combination,Proliferating cells
23_04_44__s7,Combination,Basal-like
21_37_28__s3,Combination,Proliferating cells
20_76_32__s4,Combination,Proliferating cells
21_45_43__s1,Combination,Proliferating cells
24_35_34__s5,Combination,Basal-like
23_39_47__s4,Combination,Basal-like
23_27_90__s1,Combination,Basal-like
20_80_84__s1,Combination,Proliferating cells
20_10_44__s4,Combination,Proliferating cells
21_43_48__s8,Combination,Proliferating cells
21_96_22__s6,Combination,Proliferating cells
24_23_08__s6,Combination,Basal-like
19_79_82__s6,Combination,Proliferating cells
23_18_12__s7,Combination,Basal-like
19_20_01__s3,Combination,Basal-like
24_40_45__s3,Combination,Proliferating cells
20_72_05__s3,Combination,Basal-like
23_64_70__s8,Combination,Basal-like
20_06_74__s2,Combination,Proliferating cells
23_58_95__s3,Combination,Proliferating cells
23_57_53__s2,Combination,Basal-like
23_40_41__s5,Combination,Basal-like
24_89_31__s7,Combination,Basal-like
19_46_21__s1,Combination,Proliferating cells
24_22_07__s6,Combination,Basal-like
24_66_84__s6,Combination,Basal-like
24_69_95__s5,Combination,Basal-like
19_86_60__s7,Combination,Proliferating cells
20_92_17__s8,Combination,Basal-like
23_85_64__s7,Combination,Basal-like
22_05_31__s8,Combination,Basal-like
20_51_34__s2,Combination,Proliferating cells
22_31_48__s2,Combination,Basal-like
21_69_25__s1,Combination,Proliferating cells
20_62_12__s2,Combination,Proliferating cells
24_88_37__s5,Combination,Proliferating cells
22_40_54__s4,Combination,Basal-like
20_27_44__s3,Combination,Basal-like
24_64_74__s3,Combination,Proliferating cells
23_78_12__s3,Combination,Proliferating cells
20_26_39__s5,Combination,Proliferating cells
22_41_50__s1,Combination,Basal-like
23_10_71__s3,Combination,Proliferating cells
22_37_96__s7,Combination,Proliferating cells
22_42_37__s5,Combination,Basal-like
23_05_37__s4,Combination,Basal-like
19_59_93__s3,Combination,Proliferating cells
20_75_94__s3,Combination,Proliferating cells
19_49_95__s2,Combination,Basal-like
23_68_91__s8,Combination,Proliferating cells
21_89_63__s8,Combination,Basal-like
22_81_59__s7,Combination,Basal-like
21_70_47__s4,Combination,Proliferating cells
21_68_19__s8,Combination,Basal-like
22_05_93__s2,Combination,Proliferating cells
22_18_86__s3,Combination,Proliferating cells
20_19_51__s1,Combination,Proliferating cells
19_67_62__s3,Combination,Basal-like
21_14_47__s3,Combination,Basal-like
22_54_39__s6,Combination,Basal-like
22_63_27__s4,Combination,Proliferating cells
20_21_42__s4,Combination,Proliferating cells
21_19_10__s3,Combination,Proliferating cells
19_91_94__s2,Combination,Proliferating cells
24_29_46__s1,Combination,Basal-like
22_48_40__s2,Combination,Basal-like
23_11_29__s8,Combination,Proliferating cells
19_70_90__s3,Combination,Proliferating cells
20_15_88__s3,Combination,Proliferating cells
24_70_17__s6,Combination,Basal-like
24_39_03__s1,Combination,Basal-like
22_93_84__s5,Combination,Proliferating cells
24_11_35__s7,Combination,Proliferating cells
23_11_27__s8,Combination,Basal-like
22_89_56__s8,Combination,Basal-like
24_38_34__s7,Combination,Proliferating cells
19_50_71__s5,Combination,Proliferating cells
19_28_02__s2,Combination,Basal-like
22_43_13__s8,Combination,Proliferating cells
21_68_42__s6,Combination,Basal-like
20_66_81__s4,Combination,Basal-like
22_34_26__s8,Combination,Basal-like
24_64_59__s5,Combination,Basal-like
24_09_83__s5,Combination,Proliferating cells
19_29_54__s4,Combination,Basal-like
21_73_51__s3,Combination,Proliferating cells
19_51_22__s7,Combination,Basal-like
20_87_01__s1,Combination,Proliferating cells
24_02_30__s5,Combination,Basal-like
22_34_56__s5,Combination,Proliferating cells
21_29_45__s1,Combination,Basal-like
