Cell,Pms1,Prrx2,Ets1,Tet2,Crebrf,Gli3,Zhx2,A630089N07Rik,Zfhx4,Pbx3
05_87_62__s5,0.26868974463935247,0.6263217951118082,0.6135685091202958,0.544017686844167,0.6516972932844254,0.4025108217868745,0.5787954705299839,0.24249003919625095,0.5299314890019703,0.2428130446343988
02_84_27__s3,0.37720655766679684,0.47450443106445567,0.6231584591103849,0.4888122675760506,0.4165844102509838,0.4393292101057744,0.5081207124690973,0.3183592509358325,0.4816939977641572,0.29687934368567176
02_95_13__s5,0.40933072346936433,0.3647467062947747,0.6666765864239004,0.48636131197893,0.7406649466299126,0.3776347042540054,0.305441008111582,0.3468064049040646,0.4412265015052952,0.37860937251418514
06_61_12__s1,0.3216014876592066,0.5943433133441725,0.5945246497586557,0.5053714223665977,0.6170604674246732,0.5408890194396587,0.5223262066871301,0.2656847033775513,0.519481424802004,0.2711960556970486
03_14_11__s5,0.30061874782138087,0.34602495139401995,0.5413315893243698,0.5144651103515248,0.6816449669182907,0.3602592452936384,0.47751062399241595,0.2587673962644107,0.484797851923901,0.2671979271458767
05_46_81__s4,0.25856036218423156,0.6846932498439743,0.6230360953502658,0.5508121161485612,0.6604347132495931,0.40542557767818366,0.627867357385466,0.23858699873011754,0.5424399320976404,0.2433259931623748
06_22_58__s3,0.2834191588682223,0.6103449377335619,0.5821586529977049,0.5228169112150759,0.5939493949812996,0.47450399144889843,0.6367424681976677,0.24098693521172954,0.5240659879358303,0.24654541968480098
01_51_37__s6,0.28022970717731494,0.4283724236433491,0.5169626434303967,0.5216005333567505,0.4962640095945403,0.41473624757769373,0.519365537040014,0.25067680552293914,0.504754669942283,0.2584866064094042
03_05_32__s4,0.312967518556634,0.5593887275020265,0.5807254460074244,0.5018596257803938,0.5474427241773364,0.4707802511040928,0.6083202257662229,0.2613993950689791,0.5048341008793987,0.2548442938005451
01_45_30__s4,0.2950475041420217,0.4274697968308477,0.5786049839442017,0.5066751508466766,0.5302060094525032,0.4252146353229068,0.5748839245740056,0.25561330670232385,0.5164302122074439,0.25565661058370026
06_76_54__s7,0.40191666111954133,0.4813048119024503,0.5295111060407737,0.4251249180666787,0.5061432101408279,0.5115658461106666,0.5498506467085539,0.37525782640992217,0.446701645894123,0.3888901484675794
04_07_27__s8,0.3006112416874395,0.6343261313224768,0.5652560382248252,0.5289636667361236,0.6221464147566983,0.49411728915032893,0.5960533584618095,0.2553452735903824,0.52490896715459,0.2590171940911392
05_41_18__s7,0.2987886792026742,0.5565853915733774,0.5488976186674915,0.5420612528132287,0.5612148266639628,0.510774190772875,0.574257681626399,0.2641768698199299,0.5180769990950189,0.26628648791558274
03_82_58__s8,0.3053949708735723,0.6305259115312802,0.572034903376964,0.5223445749887999,0.6331785046102915,0.5092090679055787,0.6098680158958903,0.25644936693649245,0.5301212387310241,0.26640600178532
05_88_95__s2,0.2791755364007113,0.6125486132506127,0.5511810797099809,0.534007419120874,0.5894801357091788,0.5046951328906748,0.5725731532617162,0.250981109660401,0.5353465765068128,0.2559092797292301
04_21_51__s2,0.4987740911540717,0.266246364073908,0.526000375040737,0.44076766899262065,0.3018520102152644,0.4876753218023152,0.49680152651104514,0.4078706816625386,0.4582501113383256,0.36633427861212836
05_28_21__s3,0.2586818967312636,0.6853412485420709,0.6216784790183332,0.5523384402132382,0.6726754035624247,0.40760203078139295,0.6415428221862611,0.24008013913837087,0.5474330598495516,0.24715100236422088
01_73_91__s3,0.3186125750305528,0.5239091858588169,0.6048886721518432,0.510547355660769,0.5059018279700472,0.47632919195125184,0.5290773363590175,0.27143896261018075,0.48600489082433646,0.26623164673234107
02_91_15__s7,0.29828206879225383,0.6271805920342179,0.5662233484817949,0.5264535102787629,0.6260130704977839,0.4909131626404838,0.5836247373164115,0.2546496535048892,0.5209797049642733,0.25911953018379297
04_70_75__s4,0.36584138196587174,0.28276630151985066,0.4926042336960188,0.43813124434832323,0.364833693268856,0.4187089429132548,0.5488734645837391,0.35146326993945354,0.4510465629092754,0.35685280640572203
05_73_46__s8,0.2894930838799726,0.6262616643880532,0.6363038152795735,0.5320551287383742,0.5712178922699306,0.4139636976477636,0.6074839043028485,0.25799084661028454,0.5276804681335439,0.251156120687289
04_49_24__s8,0.2916507163326933,0.49037746883668154,0.5627110849693934,0.5168819944099299,0.5608883293954702,0.41971568502402573,0.5932004891846141,0.245359874627745,0.5085861880911877,0.24216880063739138
02_28_23__s1,0.358943516088592,0.32652541683800707,0.5089970331616975,0.482196356401024,0.436891658951154,0.41869787366374656,0.4964797891637989,0.3010981341746084,0.48739157971598474,0.28480854888143975
06_56_24__s3,0.527577017511983,0.38874677490237247,0.5436235279825445,0.4366079840526366,0.33736471988647276,0.5839518180598542,0.4194941331711182,0.42234321075390807,0.4243500659831111,0.36953647524155864
06_13_01__s4,0.2783520052799755,0.538346842565018,0.5665758043821213,0.5247387515807149,0.6159124867721715,0.4496504857440609,0.6288066380090359,0.24730913845026292,0.49904872033081743,0.2508568955731274
